ID,label
_BIGS-ASG-yheS.SQ93_,0
_BIGS-Pf-sce:YFR003C.SQ233_,0
_BIGS-Pf-sce:YML114C.SQ260_,0
_BSGC-BSGCAIR30317.SQ246351_,0
_BSGC-BSGCAIR30363.SQ246382_,0
_BSGC-BSGCAIR30379.SQ246394_,0
_BSGC-BSGCAIR30527.SQ246484_,0
_BSGC-BSGCAIR30624.SQ246546_,0
_CESG-GO.10519.SQ2304_,0
_CESG-GO.111228.SQ2475_,0
_CESG-GO.11237.SQ2511_,0
_CESG-GO.12325.SQ2706_,0
_CESG-GO.14640.SQ3167_,0
_CESG-GO.16072.SQ3430_,0
_CESG-GO.16088.SQ3434_,0
_CESG-GO.18476.SQ3822_,0
_CESG-GO.18694.SQ3860_,0
_CESG-GO.19610.SQ4034_,0
_CESG-GO.20809.SQ4217_,0
_CESG-GO.22013.SQ4394_,0
_CESG-GO.22126.SQ4414_,0
_CESG-GO.22437.SQ4486_,0
_CESG-GO.22464.SQ4491_,0
_CESG-GO.225.SQ4500_,0
_CESG-GO.24399.SQ4772_,0
_CESG-GO.2527.SQ4901_,0
_CESG-GO.34181.SQ5432_,0
_CESG-GO.34232.SQ5484_,0
_CESG-GO.34248.SQ5501_,0
_CESG-GO.3437.SQ5623_,0
_CESG-GO.34380.SQ5631_,0
_CESG-GO.34421.SQ5672_,0
_CESG-GO.34707.SQ5964_,0
_CESG-GO.34726.SQ5983_,0
_CESG-GO.34927.SQ6091_,0
_CESG-GO.35158.SQ6304_,0
_CESG-GO.35194.SQ6341_,0
_CESG-GO.35256.SQ6403_,0
_CESG-GO.35273.SQ6421_,0
_CESG-GO.35329.SQ6471_,0
_CESG-GO.35431.SQ6572_,0
_CESG-GO.35859.SQ6759_,0
_CESG-GO.36018.SQ6802_,0
_CESG-GO.36495.SQ6924_,0
_CESG-GO.36511.SQ6932_,0
_CESG-GO.36564.SQ6964_,0
_CESG-GO.36695.SQ7043_,0
_CESG-GO.37177.SQ7363_,0
_CESG-GO.37197.SQ7372_,0
_CESG-GO.39309.SQ7577_,0
_CESG-GO.39954.SQ7623_,0
_CESG-GO.41810.SQ7761_,0
_CESG-GO.42253.SQ7793_,0
_CESG-GO.42850.SQ7822_,0
_CESG-GO.43360.SQ7842_,0
_CESG-GO.44520.SQ7900_,0
_CESG-GO.5436.SQ8152_,0
_CESG-GO.5438.SQ8153_,0
_CESG-GO.56836.SQ8291_,0
_CESG-GO.57034.SQ8304_,0
_CESG-GO.57299.SQ6942_,0
_CESG-GO.60904.SQ8472_,0
_CESG-GO.6090.SQ8471_,0
_CESG-GO.71135.SQ8721_,0
_CESG-GO.71183.SQ8722_,0
_CESG-GO.72248.SQ8787_,0
_CESG-GO.73704.SQ8890_,0
_CESG-GO.73947.SQ8906_,0
_CESG-GO.7556.SQ8997_,0
_CESG-GO.7795.SQ9034_,0
_CESG-GO.7854.SQ9044_,0
_CESG-GO.78724.SQ9120_,0
_CESG-GO.79193.SQ9333_,0
_CESG-GO.79232.SQ9373_,0
_CESG-GO.79354.SQ9497_,0
_CESG-GO.79357.SQ9500_,0
_CESG-GO.79387.SQ9532_,0
_CESG-GO.79397.SQ9543_,0
_CESG-GO.79399.SQ9545_,0
_CESG-GO.80003.SQ9646_,0
_CESG-GO.80022.SQ9663_,0
_CESG-GO.80027.SQ9667_,0
_CESG-GO.81691.SQ9934_,0
_CESG-GO.8379.SQ10033_,0
_CESG-GO.877.SQ10130_,0
_CESG-GO.8800.SQ10141_,0
_CESG-GO.91351.SQ10311_,0
_CESG-GO.94330.SQ10451_,0
_CESG-GO.96304.SQ10510_,0
_CESG-GO.99639.SQ10612_,0
_CESG-GO.99704.SQ10613_,0
_CSGID-IDP00109.SQ10731_,0
_CSGID-IDP00817.SQ11342_,0
_CSGID-IDP00876.SQ11399_,0
_CSGID-IDP01313.SQ11781_,0
_CSGID-IDP01371.SQ11839_,0
_CSGID-IDP01841.SQ12229_,0
_CSGID-IDP02126.SQ12514_,0
_CSGID-IDP04014.SQ13236_,0
_CSGID-IDP04256.SQ13475_,0
_CSGID-IDP04336.SQ13552_,0
_CSGID-IDP04539.SQ13751_,0
_CSGID-IDP04647.SQ13855_,0
_CSGID-IDP90092.SQ14731_,0
_CSGID-IDP90397.SQ14990_,0
_EFI-500951.SQ17443_,0
_ISFI-ISFI71.SQ18632_,0
_ISFI-ISFI727.SQ18363_,0
_ISPC-W00343.SQ18697_,0
_ISPC-W00460.SQ18714_,0
_JCSG-181.SQ214701_,0
_JCSG-228.SQ176082_,0
_JCSG-281987.SQ39364_,0
_JCSG-281998.SQ39413_,0
_JCSG-282061.SQ39907_,0
_JCSG-282062.SQ39934_,0
_JCSG-282111.SQ215224_,0
_JCSG-282142.SQ40808_,0
_JCSG-282183.SQ41152_,0
_JCSG-282209.SQ41341_,0
_JCSG-282234.SQ41444_,0
_JCSG-282263.SQ41510_,0
_JCSG-282388.SQ41580_,0
_JCSG-282392.SQ215351_,0
_JCSG-282473.SQ41631_,0
_JCSG-282524.SQ41673_,0
_JCSG-282573.SQ41704_,0
_JCSG-282651.SQ41770_,0
_JCSG-282654.SQ41773_,0
_JCSG-282696.SQ41800_,0
_JCSG-282862.SQ41903_,0
